B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
13,14,18,21,39,13,2021-10-20 00:00:00,revancha,2130
11,14,15,22,25,16,2021-10-20 00:00:00,baloto,2130
1,2,18,19,23,7,2021-10-23 00:00:00,revancha,2131
2,5,7,20,34,14,2021-10-23 00:00:00,baloto,2131
6,9,16,17,26,6,2021-10-27 00:00:00,revancha,2132
12,14,18,28,40,8,2021-10-27 00:00:00,baloto,2132
12,19,31,42,43,2,2021-10-30 00:00:00,revancha,2133
17,19,21,24,40,11,2021-10-30 00:00:00,baloto,2133
4,12,35,39,43,14,2021-11-03 00:00:00,revancha,2134
7,13,17,21,36,1,2021-11-03 00:00:00,baloto,2134
3,19,26,32,43,11,2021-11-06 00:00:00,revancha,2135
4,5,29,37,42,13,2021-11-06 00:00:00,baloto,2135
5,7,23,34,43,11,2021-11-10 00:00:00,revancha,2136
18,35,37,39,42,13,2021-11-10 00:00:00,baloto,2136
11,12,28,29,32,13,2021-11-13 00:00:00,revancha,2137
1,6,16,22,31,16,2021-11-13 00:00:00,baloto,2137
1,11,22,32,33,12,2021-11-17 00:00:00,revancha,2138
6,7,9,18,35,6,2021-11-17 00:00:00,baloto,2138
1,4,12,13,33,13,2021-11-20 00:00:00,revancha,2139
12,15,22,26,28,7,2021-11-20 00:00:00,baloto,2139
4,7,19,33,39,8,2021-11-24 00:00:00,revancha,2140
17,25,29,34,36,12,2021-11-24 00:00:00,baloto,2140
6,20,24,30,40,16,2021-11-27 00:00:00,revancha,2141
9,13,24,29,38,9,2021-11-27 00:00:00,baloto,2141
9,11,15,20,35,2,2021-12-01 00:00:00,revancha,2142
13,15,16,24,43,13,2021-12-01 00:00:00,baloto,2142
25,27,31,42,43,14,2021-12-04 00:00:00,revancha,2143
9,11,22,26,42,15,2021-12-04 00:00:00,baloto,2143
9,25,33,35,40,7,2021-12-08 00:00:00,revancha,2144
1,4,6,12,22,10,2021-12-08 00:00:00,baloto,2144
9,16,19,29,39,1,2021-12-11 00:00:00,revancha,2145
2,8,20,35,38,3,2021-12-11 00:00:00,baloto,2145
7,25,34,42,43,2,2021-12-15 00:00:00,revancha,2146
1,15,20,31,35,15,2021-12-15 00:00:00,baloto,2146
3,16,22,26,40,12,2021-12-18 00:00:00,revancha,2147
2,18,22,24,28,4,2021-12-18 00:00:00,baloto,2147
5,20,35,38,43,2,2021-12-22 00:00:00,revancha,2148
5,11,29,30,43,14,2021-12-22 00:00:00,baloto,2148
14,15,26,28,40,14,2021-12-25 00:00:00,revancha,2149
2,5,16,24,39,15,2021-12-25 00:00:00,baloto,2149
16,17,24,26,28,4,2021-12-29 00:00:00,revancha,2150
8,24,34,38,42,11,2021-12-29 00:00:00,baloto,2150
2,8,21,38,43,7,2022-01-01 00:00:00,revancha,2151
17,19,20,21,26,13,2022-01-01 00:00:00,baloto,2151
20,21,38,40,43,5,2022-01-05 00:00:00,revancha,2152
10,33,36,40,43,16,2022-01-05 00:00:00,baloto,2152
9,16,18,21,27,5,2022-01-08 00:00:00,revancha,2153
8,11,30,31,38,7,2022-01-08 00:00:00,baloto,2153
2,12,17,30,32,1,2022-01-12 00:00:00,revancha,2154
1,2,11,34,41,10,2022-01-12 00:00:00,baloto,2154
1,5,9,21,24,10,2022-01-15 00:00:00,revancha,2155
4,13,20,27,42,1,2022-01-15 00:00:00,baloto,2155
22,24,34,38,43,6,2022-01-19 00:00:00,revancha,2156
14,17,24,25,41,1,2022-01-19 00:00:00,baloto,2156
12,14,35,38,40,1,2022-01-22 00:00:00,revancha,2157
1,5,13,27,30,7,2022-01-22 00:00:00,baloto,2157
22,24,31,33,34,13,2022-01-26 00:00:00,revancha,2158
12,15,28,35,38,1,2022-01-26 00:00:00,baloto,2158
18,24,29,40,41,5,2022-01-29 00:00:00,revancha,2159
8,18,19,22,32,1,2022-01-29 00:00:00,baloto,2159
3,14,15,19,31,7,2022-02-02 00:00:00,revancha,2160
3,9,22,23,36,2,2022-02-02 00:00:00,baloto,2160
2,11,12,24,43,12,2022-02-05 00:00:00,revancha,2161
5,9,27,38,42,1,2022-02-05 00:00:00,baloto,2161
2,3,8,15,33,6,2022-02-09 00:00:00,revancha,2162
1,6,24,33,43,8,2022-02-09 00:00:00,baloto,2162
1,12,13,33,36,3,2022-02-12 00:00:00,revancha,2163
1,7,22,28,38,6,2022-02-12 00:00:00,baloto,2163
5,8,9,21,42,8,2022-02-16 00:00:00,revancha,2164
14,18,24,37,43,15,2022-02-16 00:00:00,baloto,2164
7,17,33,35,41,9,2022-02-19 00:00:00,revancha,2165
3,22,27,31,32,10,2022-02-19 00:00:00,baloto,2165
17,20,23,32,40,2,2022-02-23 00:00:00,revancha,2166
7,13,36,38,42,9,2022-02-23 00:00:00,baloto,2166
29,32,33,39,43,1,2022-02-26 00:00:00,revancha,2167
3,8,25,36,38,10,2022-02-26 00:00:00,baloto,2167
3,4,9,19,26,15,2022-03-02 00:00:00,revancha,2168
15,20,26,37,40,13,2022-03-02 00:00:00,baloto,2168
5,12,18,21,22,2,2022-03-05 00:00:00,revancha,2169
1,4,5,29,33,11,2022-03-05 00:00:00,baloto,2169
7,9,21,32,35,7,2022-03-09 00:00:00,revancha,2170
17,18,19,27,37,14,2022-03-09 00:00:00,baloto,2170
2,3,7,24,34,3,2022-03-12 00:00:00,revancha,2171
1,4,10,16,25,15,2022-03-12 00:00:00,baloto,2171
2,13,16,34,38,16,2022-03-16 00:00:00,revancha,2172
1,11,31,33,36,7,2022-03-16 00:00:00,baloto,2172
23,28,31,33,38,4,2022-03-19 00:00:00,revancha,2173
9,27,36,39,43,8,2022-03-19 00:00:00,baloto,2173
16,18,28,30,34,1,2022-03-23 00:00:00,revancha,2174
3,9,37,40,42,11,2022-03-23 00:00:00,baloto,2174
5,19,24,34,39,13,2022-03-26 00:00:00,revancha,2175
