B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
20,27,31,34,41,9,2022-04-09 00:00:00,baloto,2179
7,9,16,23,28,12,2022-04-13 00:00:00,baloto,2180
1,5,8,17,30,15,2022-04-16 00:00:00,baloto,2181
13,16,35,38,42,3,2022-04-20 00:00:00,baloto,2182
6,16,28,39,40,2,2022-04-23 00:00:00,baloto,2183
4,9,20,25,43,14,2022-04-27 00:00:00,baloto,2184
3,5,10,30,40,8,2022-04-30 00:00:00,baloto,2185
14,27,34,38,40,14,2022-05-04 00:00:00,baloto,2186
4,18,30,41,43,11,2022-05-07 00:00:00,baloto,2187
21,26,27,30,31,2,2022-05-11 00:00:00,baloto,2188
5,7,20,26,33,14,2022-05-14 00:00:00,baloto,2189
15,20,27,38,42,3,2022-05-18 00:00:00,baloto,2190
13,19,21,25,36,12,2022-05-21 00:00:00,baloto,2191
5,10,14,37,40,6,2022-05-25 00:00:00,baloto,2192
6,20,25,29,41,4,2022-05-28 00:00:00,baloto,2193
13,17,25,26,35,4,2022-06-01 00:00:00,baloto,2194
20,24,32,35,37,5,2022-06-04 00:00:00,baloto,2195
5,6,17,22,31,10,2022-06-08 00:00:00,baloto,2196
22,24,28,31,43,4,2022-06-11 00:00:00,baloto,2197
1,7,12,32,43,1,2022-06-15 00:00:00,baloto,2198
1,14,18,19,26,10,2022-06-18 00:00:00,baloto,2199
16,28,30,32,39,11,2022-06-22 00:00:00,baloto,2200
7,9,14,28,39,9,2022-06-25 00:00:00,baloto,2201
9,24,29,30,32,14,2022-06-29 00:00:00,baloto,2202
7,8,11,12,38,5,2022-07-02 00:00:00,baloto,2203
1,8,12,13,42,5,2022-07-06 00:00:00,baloto,2204
1,8,21,29,35,6,2022-07-09 00:00:00,baloto,2205
16,23,31,39,43,9,2022-07-13 00:00:00,baloto,2206
7,9,11,28,34,5,2022-07-16 00:00:00,baloto,2207
3,11,29,39,40,13,2022-07-20 00:00:00,baloto,2208
2,8,11,19,26,6,2022-07-23 00:00:00,baloto,2209
2,20,26,30,43,11,2022-07-27 00:00:00,baloto,2210
4,14,19,25,31,15,2022-07-30 00:00:00,baloto,2211
6,8,13,32,43,15,2022-08-03 00:00:00,baloto,2212
6,13,33,35,41,11,2022-08-06 00:00:00,baloto,2213
1,14,15,22,36,11,2022-08-10 00:00:00,baloto,2214
5,6,18,19,24,9,2022-08-13 00:00:00,baloto,2215
3,8,15,22,33,13,2022-08-17 00:00:00,baloto,2216
12,14,15,20,43,10,2022-08-20 00:00:00,baloto,2217
14,18,21,26,36,7,2022-08-24 00:00:00,baloto,2218
1,13,16,22,25,8,2022-08-27 00:00:00,baloto,2219
15,16,26,34,39,6,2022-08-31 00:00:00,baloto,2220
2,5,23,27,36,12,2022-09-03 00:00:00,baloto,2221
14,15,17,23,39,6,2022-09-07 00:00:00,baloto,2222
3,9,10,19,35,8,2022-09-10 00:00:00,baloto,2223
7,13,19,32,42,7,2022-09-14 00:00:00,baloto,2224
3,25,30,33,34,1,2022-09-17 00:00:00,baloto,2225
2,4,20,21,35,3,2022-09-21 00:00:00,baloto,2226
5,8,19,30,33,1,2022-09-24 00:00:00,baloto,2227
2,4,12,21,33,2,2022-09-28 00:00:00,baloto,2228
3,5,28,37,42,15,2022-10-01 00:00:00,baloto,2229
1,3,8,31,35,16,2022-10-05 00:00:00,baloto,2230
1,3,15,19,29,13,2022-10-08 00:00:00,baloto,2231
12,21,25,37,41,3,2022-10-12 00:00:00,baloto,2232
